PGN,Message Name,"Source
Address",SPN,Signal Name,Usage,Notes
,,,91,"Accelerator Pedal Po-
sition 1",,"from SA 17
with
Cummins"
,,,92,"Engine Percent Load
At Current Speed",,
65247,"Electronic Engine
Controller 3",0,514,"Nominal Friction - Per-
cent Torque",All,
64981,"Electronic Engine
Controller 5",,2791,"Engine Exhaust Gas
Recirculation 1
(EGR1) Valve Control",Since 2007,
,,,2795,"Engine Variable Ge-
ometry Turbocharger
(VGT) 1 Actuator
Position",All,
65263,"Engine Fluid Level/
Pressure 1",0,94,"Engine Fuel Delivery
Pressure",All,
,,,98,Engine Oil Level,,
,,,100,Engine Oil Pressure,,
,,,101,"Engine Crankcase
Pressure",,
,,,111,Engine Coolant Level,,
65251,"Engine Configura-
tion 1",0,,,30 bytes,
61440,"Electronic Retarder
Controller 1",15,900,Retarder Torque Mode,"SA 15 be-
fore 2007",
,,,520,"Actual Retarder - Per-
cent Torque",,
65262,"Engine Temperature
1",,110,"Engine Coolant
Temperature",All,
,,,174,"Engine Fuel Tempera-
ture 1",,
,,,175,"Engine Oil Tempera-
ture 1",,
61442,"Electronic Transmis-
sion Controller 1",3,161,"Transmission Input
Shaft Speed","Automated
transmis-
sions",
,,,560,"Transmission Driveline
Engaged",,
,,,573,"Transmission Torque
Converter Lockup
Engaged",,
,,,574,"Transmission Shift In
Process",,
,,,4816,"Transmission Torque
Converter Lockup
Transition in Process",,
,,,191,"Transmission Output
Shaft Speed",,"SA 17 with
Cummins"
,,,522,Percent Clutch Slip,,
,,,606,"Engine Momentary
Overspeed Enable",,
,,,607,"Progressive Shift
Disable",,
,,,5015,"Momentary Engine
Maximum Power
Enable",,
61445,"Electronic Transmis-
sion Controller 2",3,524,"Transmission Selected
Gear","Automated
transmis-
sions",
,,,523,"Transmission Current
Gear",,
,,,526,"Transmission Actual
Gear Ratio",,
65134,"High Resolution
Wheel Speed",11,1592,"Front Axle, Left Wheel
Speed",Since 2007,
,,,1593,"Front Axle, Right
Wheel Speed",,
,,,1594,"Rear Axle, Left Wheel
Speed",,
,,,1595,"Rear Axle, Right
Wheel Speed",,
65270,"Intake/Exhaust Con-
ditions 1",0,173,"Engine Exhaust Gas
Temperature","Since 2007
SA 23 from
2004-2007",
,,,102,"Engine Intake Manifold
#1 Pressure",Since 2007,
,,,105,"Engine Intake Manifold
1 Temperature",,
,,,106,"Engine Air Intake
Pressure",,
,,,107,"Engine Air Filter 1 Dif-
ferential Pressure",,
65266,"Fuel Economy
(Liquid)",0,183,Engine Fuel Rate,Since 2007,
,,,184,"Engine Instantaneous
Fuel Economy",,
,,,185,"Engine Average Fuel
Economy",,
65254,Time/Date,23,959,Seconds,All,
,,,960,Minutes,,UTC/GMT
,,,961,Hours,,UTC/GMT
,,,962,Day,,
,,,963,Month,,
,,,964,Year,,
,,,1601,Local minute offset,,Display clock
,,,1602,Local hour offset,,Display clock
65272,"Transmission Fluids
1",3,177,"Transmission Oil
Temperature","Automated
Transmis-
sions",
0,"Torque/Speed Con-
trol 1","3,11,17,42,
230",695,"Engine Override Con-
trol Mode","By options –
engine
brake,
transmis-
sion, etc.",
,,,898,"Engine Requested
Speed/Speed Limit",,
,,,518,"Engine Requested Tor-
que/Torque Limit",,
61449,"Vehicle Dynamic
Stability Control 2",11,1807,Steering Wheel Angle,"Trucks with
stability
control",
,,,1808,Yaw Rate,,
,,,1809,Lateral Acceleration,,
,,,1810,"Longitudinal
Acceleration",,
,,,1811,"Steering Wheel Turn
Counter",,
,,,1812,"Steering Wheel Angle
Sensor Type",,
65103,"Vehicle Dynamic
Stability Control 1",11,1813,"VDC Information
Signal","Trucks with
stability
control",
,,,1814,VDC Fully Operational,,
,,,1815,"VDC Brake Light
Request",,
,,,1816,"ROP Engine Control
Active",,
,,,1817,"YC Engine Control
Active",,
,,,1818,"ROP Brake Control
Active",,
,,,1819,"YC Brake Control
Active",,
65217,"High Resolution Ve-
hicle Distance",23,917,"High Resolution Total
Vehicle Distance",All,
,,,918,"High Resolution Trip
Distance",,
65271,"Vehicle Electrical
Power 1",0,158,"Keyswitch Battery
Potential",Since 2007,
65260,Vehicle Identification,0,237,"Vehicle Identification
Number",Since 2010,
65135,"Adaptive Cruise
Control",42,1586,"Speed of Forward
Vehicle",By option,
,,,1587,"Distance to Forward
Vehicle",,
,,,1588,"Adaptive Cruise Con-
trol Set Speed",,
,,,1589,"Adaptive Cruise Con-
trol Set Distance Mode",,
,,,1590,"Adaptive Cruise Con-
trol Mode",,
,,,1796,"ACC Distance Alert
Signal",,
,,,1797,"ACC System Shutoff
Warning",,
,,,1798,ACC Target Detected,,
,,,5022,"Forward Collision
Warning",,
65264,"Power Takeoff
Information",17,980,"Engine PTO Governor
Enable Switch",Mack,
,,,984,"Engine PTO Governor
Set Switch",,
256,"Transmission Con-
trol 1",11,681,"Transmission Gear
Shift Inhibit Request","By ABS
type with
Automatic
Transmis-
sion",
1024,"External Brake
Request",3,2920,"External Acceleration
Demand",I-Shift,
,,,2914,XBR EBI Mode,,
,,,2915,XBR Priority,,
,,,2916,XBR Control Mode,,
,,,3189,XBR Message Counter,,
,,,3188,"XBR Message
Checksum",,
